"Country","Year","Access.to.electricity....of.population.","Adolescent.fertility.rate..births.per.1.000.women.ages.15.19.","Foreign.direct.investment..net..BoP..current.US..","Foreign.direct.investment..net.inflows....of.GDP.","Foreign.direct.investment..net.outflows....of.GDP.","Foreign.direct.investment..net.outflows..BoP..current.US..","Forest.area....of.land.area.","Forest.area..sq..km.","GDP..current.US..","GDP.per.capita..current.US..","GDP..PPP..current.international...","High.technology.exports..current.US..","Households.and.NPISHs.Final.consumption.expenditure..PPP..current.international...","Immunization..DPT....of.children.ages.12.23.months.","Immunization..measles....of.children.ages.12.23.months.","Immunization..HepB3....of.one.year.old.children.","Individuals.using.the.Internet....of.population.","Inflation..consumer.prices..annual...","Life.expectancy.at.birth..total..years.","Mortality.rate..infant..per.1.000.live.births.","Military.expenditure....of.GDP.","Military.expenditure..current.USD.","Net.migration","People.using.at.least.basic.sanitation.services....of.population.","People.using.at.least.basic.drinking.water.services....of.population.","Proportion.of.seats.held.by.women.in.national.parliaments....","Total.greenhouse.gas.emissions.excluding.LULUCF.per.capita..t.CO2e.capita.","Tuberculosis.treatment.success.rate....of.new.cases.","Voice.and.Accountability..Percentile.Rank","Women.Business.and.the.Law.Index.Score..scale.1.100.","Educational.attainment..at.least.completed.upper.secondary..population.25...total......cumulative.","Government.expenditure.on.education..total....of.GDP.","Government.expenditure.on.education..total....of.government.expenditure.","Prevalence.of.moderate.or.severe.food.insecurity.in.the.population....","Unemployment..total....of.total.labor.force...national.estimate.","Life.Ladder","Log.GDP.per.capita","Social.support","Healthy.life.expectancy.at.birth","Freedom.to.make.life.choices","Generosity","Perceptions.of.corruption","Positive.affect","Negative.affect","Tax.Rate"
"Afghanistan",2020,97.7,68.877,24258330.1122418,0.0649939571808755,0.186553469889349,37228478.0954418,1.85278199408184,12084.4,19955929052.1496,510.787063366811,100094011602.726,NA,89745212615.4266,61,57,61,18.4,NA,62.575,47.4,1.35885692738929,279576954.925193,143634,52.6490009350063,76.72225540254,27.0161290322581,0.682032156509644,95,19.8067627,38.125,13.007438659668,NA,NA,70.1,11.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan",2021,97.7,66.599,NA,0.215925454725649,0.215925454725649,30790960,1.85278199408184,12084.4,14259995441.0759,356.496214115892,85767546197.7544,NA,69232716427.5957,55,51,55,NA,NA,61.982,46.1,1.827933856217,278250788.014927,-548784,54.298589737252,79.6930784589074,27.0161290322581,0.691070381975066,93,7.246376991,38.125,9.46000003814697,NA,NA,79.1,5.679,2.436,7.325,0.454,54.55,0.394,-0.085,0.946,0.179,0.607,20
"Afghanistan",2022,85.3,65.339,NA,NA,NA,NA,1.85278199408184,12084.4,14497243872.1337,357.261152798144,86148711748.6854,NA,NA,58,56,58,NA,NA,62.879,44.8,NA,NA,-647402,55.9519412878114,82.1753711181706,NA,0.705148264211187,95,2.415458918,31.875,12.5973300933838,NA,NA,80.9,NA,1.281,NA,0.228,54.875,0.368,NA,0.733,0.206,0.576,20
"Afghanistan",2023,NA,NA,NA,NA,NA,NA,NA,NA,17233051620.1117,415.707417059086,91668110208.7869,NA,NA,60,55,60,NA,NA,NA,NA,NA,NA,-48958,NA,NA,NA,0.710656611914853,NA,1.960784316,31.875,NA,NA,NA,NA,NA,1.446,NA,0.368,55.2,0.228,NA,0.738,0.261,0.46,20
"Albania",2020,100,14.004,-1019647592.46952,7.01865154485077,0.328696897581741,50098202.0405848,28.7919708029197,7889,15241458744.8688,5370.77862312929,41183017294.0252,3810240,23914011908.3389,98,91,98,72.2377,1.62088661717011,76.989,8.4,1.29583570269739,196596308.984418,-16680,99.2987931149029,95.0680388145809,29.5081967213115,2.8075489569741,89,51.20772934,91.25,NA,3.3422999382019,10.1343832015991,30.9,11.639,5.365,9.494,0.71,69.125,0.754,0.002,0.891,0.563,0.265,15
"Albania",2021,100,13.002,-1168644882.54546,6.75790671297037,0.276960628708263,49941569.8261184,28.7919708029197,7889,18032010563.7558,6413.28328605026,45304758103.053,6384226,25618164717.4949,98,87,98,79.3237,2.04147163139549,76.463,8.4,1.24298808396067,222814540.116661,-32848,99.2990334369956,95.0815134425003,35.7142857142857,2.98588096879217,90,50.24154663,91.25,51.8425102233887,3.02255988121033,9.83377838134766,30.2,11.474,5.255,9.588,0.702,69.15,0.827,0.039,0.896,0.554,0.254,15
"Albania",2022,100,12.827,-1249848499.5736,7.57934219388197,1.00704223124557,191511664.057225,28.7919708029197,7889,19017242585.7803,6846.42614266044,53970278712.2857,886411,31170345458.3917,97,86,97,82.6137,6.72520271530048,76.833,8.4,1.21098343566728,228693159.623738,-16426,99.2992661348186,95.0945635220358,35.7142857142857,2.81240988461991,89,52.17391205,91.25,53.2684860229492,2.74432992935181,NA,32.2,10.785,5.212,9.649,0.724,69.175,0.802,-0.07,0.846,0.547,0.255,15
"Albania",2023,NA,NA,-1358205660.75963,6.88397745384155,1.11595840753282,262776733.054682,NA,NA,23547179830.4413,8575.17113446213,58237150900.0144,NA,34118733303.2867,97,83,97,83.1356,4.75976421930107,NA,NA,1.74399167669186,397617613.069546,-25357,NA,NA,35.7142857142857,2.79452958733738,NA,53.92156982,91.25,NA,NA,NA,NA,10.669,5.445,9.689,0.691,69.2,0.872,0.068,0.855,0.597,0.314,15
"Algeria",2020,99.7,9.901,-1129312783.55399,0.693816014772842,0.00885853916860205,14605376.0751949,0.818308959706366,19490,164873415325.201,3743.5419522929,558300141593.952,NA,255177762525.056,84,80,84,60.6534,2.41513094083414,74.453,19.7,6.65871082968014,9708277440.22726,-10798,85.9654695730295,94.4373299704124,25.7575757575758,5.4750352339084,89,19.32367134,57.5,NA,6.1939172744751,16.5491714477539,19,NA,5.438,9.291,0.868,66.5,0.574,-0.124,0.724,0.524,0.311,26
"Algeria",2021,99.8,9.343,-920974182.921155,0.466728479682941,-0.0278042070518469,-51780109.9062193,0.822227647758509,19583.333,186231205262.082,4160.55926736925,648895630480.26,NA,270751566173.205,81,79,81,66.2356,7.22606307415477,76.377,19.2,5.57082878533287,9112461105.34894,-10803,85.7843012451086,94.6321020435575,8.10810810810811,5.67335712646376,90,20.77294731,57.5,NA,5.51403284072876,16.0506973266602,19.4,NA,5.217,9.308,0.841,66.6,0.558,-0.116,0.712,0.498,0.258,26
"Algeria",2022,100,8.977,-155427080.152456,0.106370751232434,0.037487510975576,84586241.1726024,0.826332963995665,19681.111,225638456572.143,4961.55257664733,720184226947.05,NA,305377126393.661,77,79,77,71.2432,9.26551551551553,77.129,18.7,4.69502219300875,9145810174.20728,-14684,85.8262893978246,94.6613975479238,8.10810810810811,5.7878454719553,90,21.73913002,57.5,NA,4.74924659729004,13.1015062332153,18.9,NA,5.538,9.323,0.783,66.7,0.44,-0.045,0.611,0.583,0.259,26
"Algeria",2023,NA,NA,-1132222100.82674,0.490972610393285,0.0337422046157312,83554525.9322386,NA,NA,247626161016.414,5364.02795022731,776689344130.732,NA,328124902425.358,92,99,94,NA,9.32217375928322,NA,NA,8.1717205566288,18263967968.2621,-25963,NA,NA,7.86240786240786,5.56257867158979,NA,22.05882263,57.5,NA,5.61015701293945,13.2610235214233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argentina",2020,100,31.492,-3706950767.3516,1.26616924308721,0.305173266187527,1177176908.60546,10.4407148781923,285730,385740508436.965,8535.59938004389,1011999397129.76,546445789,595952624497.058,74,77,74,85.5144,NA,75.892,8.9,0.734111593948744,2830929705.21542,292,NA,NA,40.8560311284047,7.68526883042151,46,65.21739197,76.25,NA,5.27689981460571,12.4222898483276,37,11.461,5.901,9.888,0.897,67.15,0.823,-0.131,0.816,0.679,0.342,30
"Argentina",2021,100,28.54,-5114187941.51842,1.36838083162438,0.317298745187024,1543861737.75887,10.4007639520735,284636.667,486564085480.036,10738.0179223384,1191725417699.43,466425814,676876488803.718,81,86,81,87.1507,NA,75.39,8.6,0.630055381810861,3073433322.80813,314,NA,NA,44.7470817120623,8.11289990013966,48,65.21739197,79.375,NA,4.64117002487183,12.2848997116089,36.9,8.736,5.908,9.977,0.882,67.2,0.819,-0.014,0.816,0.685,0.345,35
"Argentina",2022,100,25.767,-13110763934.6583,2.402155349277,0.330257486949538,2089836583.05669,10.3611377978507,283552.222,632790070063.124,13935.6811110049,1343969240640.99,663679613,NA,84,85,84,88.3754,NA,76.064,8.4,0.686383404283536,4338261310.30872,5589,NA,NA,44.7470817120623,8.25321732533613,52,62.80193329,79.375,NA,4.80521011352539,12.7075796127319,36.1,6.805,6.261,10.019,0.893,67.25,0.825,-0.13,0.81,0.724,0.284,35
"Argentina",2023,NA,NA,-20904799580.0164,3.69401868015696,0.45835864064964,2961341859.63755,NA,NA,646075277525.125,14187.4827252965,1369900046451.37,689722037,NA,66,80,66,89.229,NA,NA,NA,0.472747196738259,3121892360.38989,4133,NA,NA,43.1906614785992,8.03024682399366,NA,63.23529434,79.375,NA,NA,NA,NA,6.139,6.393,9.994,0.892,67.3,0.832,-0.129,0.846,0.72,0.301,35
"Armenia",2020,100,13.735,-85861619.2381023,0.463408850763634,-0.215784840439408,-27278869.1166219,11.5374077976818,3284.7,12641698583.2152,4268.68093304583,43552758696.8095,26514439,29401863637.2448,91,94,92,76.5077,1.21143577838465,72.173,10.1,4.98254372367497,633960400.11526,-13046,93.9367387745435,99.9415163996124,23.4848484848485,3.37450616241769,81,48.79227066,85,89.879997253418,2.70555996894836,9.57238006591797,8.3,8.055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Armenia",2021,100,13.66,-341851473.713828,2.64030281211345,0.177202269747598,24593741.1066731,11.5300316122234,3282.6,13878908628.9378,4685.17997128509,47164867556.762,37562644,30331112325.8772,93,94,93,78.6123,7.18483629443371,72.043,9.6,4.46514475903396,619435471.710093,-19457,93.9562455310178,99.9548941126002,33.6448598130841,3.60240353779158,86,48.79227066,87.5,94.7174606323242,2.76784992218018,9.66730403900146,8,8.418,5.301,9.561,0.762,67.65,0.795,-0.159,0.705,0.566,0.478,18
"Armenia",2022,100,13.487,-925913971.648405,4.99991586140552,0.254925671520246,49744937.6177013,11.522655426765,3280.5,19513506553.1251,6571.97445545099,56893939956.6733,497178920,34431394463.8598,93,95,96,77.0277,8.64091108973855,73.372,9.2,4.08174595925594,795201580.049707,38001,93.9797141565547,99.9683044970836,35.5140186915888,3.49067088778122,84,51.20772934,87.5,95.5666809082031,2.4918999671936,9.70266437530518,7.8,NA,5.382,9.683,0.811,67.925,0.79,-0.158,0.705,0.531,0.549,18
"Armenia",2023,NA,NA,-526510467.341275,2.40957864494139,0.223595330106916,53854611.3097086,NA,NA,24085749592.3359,8053.01066312345,63833326718.211,822532500,38189753316.5006,94,96,94,NA,1.98041877615554,NA,NA,5.45092500345977,1329532625.29821,75000,NA,NA,35.5140186915888,3.62309003978735,NA,50.49019623,90.625,NA,0.242599993944168,NA,NA,NA,5.679,9.73,0.819,68.2,0.819,-0.179,0.681,0.575,0.423,18
"Australia",2020,100,7.726,-10577683984.3315,1.35325605506287,0.55699197477725,7399159696.98033,17.4213145571644,1340051,1328414058378.38,51791.540179984,1384652202439.55,5590752219,670849451470.783,95,93,95,94.6935,0.846905537459305,83.2,3.2,2.01065640494339,27300894700.6194,44447,100,99.9698176501115,30.4635761589404,22.7909800708387,90,93.23671722,96.875,80.0500030517578,5.37828016281128,14.4562530517578,11.9,6.394,7.137,10.794,0.937,70.975,0.905,0.202,0.491,0.726,0.205,30
"Australia",2021,100,7.089,-24337208092.7792,2.0246819461122,0.461333267746362,7181739999.93471,17.4213145571644,1340051,1556735770437.26,60607.7788605166,1493492442755.91,6310404299,704789046239.182,95,93,95,94.9886,2.86391042204994,83.3,3.2,1.99027820211932,32718066816.8168,116768,100,99.9697746715914,31.1258278145695,22.6096353836956,88,93.71981049,96.875,81.129997253418,5.33320999145508,13.1453952789307,11.4,5.023,7.112,10.815,0.92,71.05,0.912,0.234,0.454,0.74,0.235,30
"Australia",2022,100,6.747,54381972493.26,4.16149504206489,7.37768712631424,124746231212.731,17.4213145571644,1340051,1690858246994.43,64997.0136536475,1712652362281.4,7827261971,786074777827.893,94,96,94,94.8762,6.59409671341846,83.2,3.2,1.90833557385416,32445330432.014,140972,100,99.9697313918139,38.4105960264901,21.8728981592079,86,93.23671722,96.875,81.6699981689453,5.20677661895752,13.9446935653687,12.9,3.728,7.035,10.84,0.942,71.125,0.854,0.153,0.545,0.711,0.244,30
"Australia",2023,NA,NA,-17885795877.9107,1.88080648094006,0.845783180201875,14615618128.8593,NA,NA,1728057316695.61,64820.9117890026,1875196191636.41,7767880136,898765883675.827,94,91,94,NA,5.5970149253731,NA,NA,1.92219906285917,32340013664.9176,140232,NA,NA,38.4105960264901,21.4502012607549,NA,96.07843018,96.875,78.9638366699219,NA,NA,NA,3.668,7.025,10.846,0.896,71.2,0.876,0.187,0.482,0.731,0.248,30
"Austria",2020,100,4.907,14118129034.8985,-2.76332070661681,0.48672694195965,2114330162.00784,47.137905962191,38898.2,434397601557.696,48716.4098900349,521841933098.151,15995936181,241773220224.855,85,95,85,87.5294,1.38191063351862,81.1926829268293,2.8,0.884127145088915,3840077510.54371,39601,99.9726057573629,100,39.344262295082,8.66598391542139,70,95.6521759,96.875,80.9440231323242,5.57126998901367,8.94960975646973,3.3,5.201,7.213,10.859,0.925,71.025,0.912,0.004,0.464,0.716,0.206,25
"Austria",2021,100,4.426,10092244103.6076,3.95409323796325,6.05460031114493,29090358737.6628,47.1720794958798,38926.4,480467037338.783,53648.7190742245,563428660194.172,17019360151,268424138903.521,86,99,86,92.5292,2.7666666666667,81.190243902439,2.7,0.8736941368808,4196428571.42857,52150,99.972489808581,100,40.4371584699454,9.01362547632556,75,94.68598938,96.875,81.4542465209961,5.49411010742188,8.81137847900391,4.3,6.459,7.08,10.899,0.863,71.15,0.795,0.158,0.501,0.722,0.259,25
"Austria",2022,100,4.205,112362400.324623,3.03143362679607,3.055250642674,14413866857.3592,47.206131846825,38954.5,471773629830.381,52176.6649141178,639037472934.072,23542335794,312302426211.98,84,95,84,93.6141,8.5468699318845,81.0926829268293,2.6,0.768528566154672,3612733177.95148,157365,99.9723671174221,99.9999993664088,40.9836065573771,8.33994057190281,73,94.20289612,96.875,82.0893325805664,4.77447128295898,8.97728061676025,4.9,4.992,6.999,10.938,0.876,71.275,0.856,0.137,0.524,0.718,0.226,25
"Austria",2023,NA,NA,5445120679.06323,0.571627955399011,1.63578236872706,8370056347.88167,NA,NA,511685203845.001,56033.573792065,641932305196.347,27308757068,321427099191.943,84,95,84,95.3347,7.81413417002832,NA,NA,0.844274840737983,4409985263.67648,4819,NA,NA,40.9836065573771,7.9854805661252,NA,93.62744904,96.875,82.5592956542969,NA,NA,NA,5.264,6.636,10.93,0.874,71.4,0.874,0.209,0.529,0.712,0.24,24
"Azerbaijan",2020,100,41.585,318126200,1.18790387182911,1.93305225681025,825278000,13.6941896764514,11317.7,4.2693e+10,4229.91064904503,153047750160.236,33914977,94117471818.4065,79,82,79,84.6,2.75980947008127,66.868,17.6,5.24152602506817,2237764705.88235,1073,NA,96.3620821780168,17.3553719008264,5.42196016474983,82,5.797101498,78.75,NA,4.33204984664917,9.80201053619385,9.5,7.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azerbaijan",2021,100,34.844,1784653000,-3.11473447263613,0.140422109970473,76987000,13.8329909255898,11432.967,54825411764.7059,5408.04535175023,203884098954.124,22212874,101095066472.181,89,93,89,86,6.65029912708779,69.366,16.8,4.93051740712765,2703176470.58824,1073,NA,97.0071020730201,18.1818181818182,5.62118813346157,81,7.729468822,78.75,92.0473937988281,3.7020800113678,10.7886276245117,10.1,6.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azerbaijan",2022,100,35.293,4646691000,-5.67773710614177,0.218519892485559,172210000,13.9724815486993,11548.256,78807470588.2353,7770.594223351,228718046983.924,49582911,114155807796.223,83,93,83,88,13.8522590144267,73.488,16.1,3.79953641226131,2991035294.11765,9086,NA,97.6421868392552,18.3333333333333,5.82012621877316,82,9.66183567,78.75,92.9022064208984,3.04690003395081,NA,12.2,5.65,4.576,9.619,0.665,63.975,0.8,0.075,0.696,0.533,0.401,20
"Azerbaijan",2023,NA,NA,1622389000,0.349432505050587,2.59165850307507,1875225000,NA,NA,72356176470.5882,7125.90858368611,239611454543.342,56810637,123095529554.865,83,96,83,NA,8.78543049849081,NA,NA,4.60210314808281,3561670588.23529,-84122,NA,NA,18.6440677966102,6.16018896276703,NA,9.313725471,85,91.8099975585938,3.58290028572083,NA,NA,NA,5.214,9.637,0.713,64.1,0.829,-0.16,0.627,0.509,0.221,20
"Bahrain",2020,100,8.021,-1226329787.23404,2.84973228101032,-0.572172809546604,-205053191.489362,0.89171974522293,7,35837632978.7234,24342.8444554718,78668739612.8244,334578591,27658125488.4567,98,99,98,99.671,-2.31770629331379,79.174,5.9,4.04564950980392,1404787234.04255,-5048,100,99.9198990209829,15,42.91830480015,NA,8.695652008,55.625,68.7399978637695,2.55237460136414,9.36690330505371,NA,NA,6.173,10.779,0.848,65.825,0.945,0.115,NA,0.73,0.297,0
"Bahrain",2021,100,8.364,-1714893617.02128,4.35662597877562,0.157593944224768,64361702.1276596,0.911392405063291,7.2,40840212765.9574,27147.8083882286,82671890844.1512,18783670,27923695633.275,98,99,98,100,-0.60631938514085,78.76,5.7,3.55388299692097,1381382978.7234,11882,100,99.9198990209829,15,42.135917812499,44,8.695652008,65,NA,2.22135806083679,9.08058261871338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bahrain",2022,100,8.122,-3457446.80851082,4.18019089747336,4.17278426238175,1947872340.42553,0.936708860759494,7.4,46680398936.1702,30616.2610677495,93863366185.3324,18993642,32222334400.9959,97,99,97,100,3.62574104304482,79.246,5.6,3.14569341444798,1381313829.78723,18975,100,99.9198990209829,20,40.9954659724941,NA,10.14492798,68.125,66.9499969482422,1.98779726028442,9.29553604125977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bahrain",2023,NA,NA,-5726595744.68085,14.8429848037894,2.41544081361975,1113031914.89362,NA,NA,46079867021.2766,29218.8605634137,100139488267.839,11523340,35163311414.3083,99,99,99,100,0.0746206782192256,NA,NA,3.10846000977851,1383776595.74468,20002,NA,NA,20,40.4131360970008,NA,11.27450943,68.125,66.7300033569336,NA,NA,NA,NA,5.959,10.877,0.817,65.6,0.869,0.155,NA,0.671,0.336,0
"Bangladesh",2020,96.2,79.184,-1520504558.52071,0.407859894856918,0.00128552571067847,4807601.88421795,14.4687716063609,18834,373979442362.193,2248.85078828233,1104316059486.83,NA,722038027174.31,98,97,98,36.1091,5.69107474746211,71.968,25.7,1.24468950875224,4651183348.26269,-1002522,56.4312334257288,97.945676020447,20.9169054441261,1.51270167828332,95,26.57004738,49.375,NA,1.76528060436249,10.3874378204346,31.7,NA,5.28,8.629,0.739,64.425,0.777,-0.025,0.742,0.485,0.332,25
"Bangladesh",2021,99,75.962,-1640672068.80331,0.414118154040596,0.0199831998498078,83184395.3201463,14.4687716063609,18834,416271647911.014,2482.84917843357,1247561124482.2,NA,831049075287.075,98,97,98,38.9174,5.54565430773473,72.381,24.9,1.16873060016575,4849929469.84836,-994722,57.9366246208439,98.0330197120009,20.8571428571429,1.60690052193724,97,28.01932335,49.375,33.6599998474121,1.83117997646332,10.221302986145,31.1,NA,4.123,8.685,0.485,64.55,0.893,0.089,0.746,0.504,0.448,32.5
"Bangladesh",2022,99.4,73.128,-1603289892.55869,0.355308723531372,0.00686719446408677,31598137.8682885,14.4687716063609,18834,460131688909.301,2716.48592677835,1431395376250.57,NA,941752341010.857,98,97,98,41.6152,7.69695437176898,73.698,24.1,1.05198976442527,4473791826.02742,-549990,59.2951914692048,98.0970629849078,20.8571428571429,1.64411883782059,95,28.01932335,49.375,29.3129501342773,1.71183669567108,11.6619834899902,30.5,4.593,3.408,8.742,0.404,64.675,0.865,-0.058,0.617,0.394,0.448,30
"Bangladesh",2023,NA,NA,-1387217991.32473,0.316668222065388,-0.000471551710562171,-2062639.47578499,NA,NA,437415331040.994,2551.01772674142,1568541874255.92,NA,1001634885248.27,98,97,98,44.5027,9.8835030377921,NA,NA,1.02281837589173,4207971900.94899,-549918,NA,NA,20.8571428571429,1.64101848408256,NA,27.45098114,49.375,NA,1.7752274274826,10.6746625900269,NA,NA,4.114,8.783,0.45,64.8,0.919,0.019,0.756,0.435,0.435,27.5
"Belgium",2020,100,4.884,8240739784.27252,-5.74235227142936,-4.18659887083349,-22176182846.4934,22.604446776415,6893,529694473501.791,45906.2875805246,647547562363.422,34318944448,285257728597.441,97,96,97,91.5264,0.740791812220344,80.6951219512195,3.2,1.01248470692312,5317451270.94495,43777,99.4861978032885,99.9999962634716,41.3333333333333,10.0374100714437,67,90.82125854,100,72.7141799926758,6.80185985565186,11.1488370895386,4.8,5.545,6.839,10.799,0.904,70.75,0.767,-0.172,0.634,0.619,0.26,25
"Belgium",2021,100,4.609,23371946828.2103,5.90607720952822,9.81120331001356,58719466716.811,22.604446776415,6893,598494036474.409,51655.7883303715,702256972634.048,60841701079,309809397490.051,98,96,97,92.7887,2.44024851144084,81.790243902439,3.1,1.03872662668212,6239356669.82025,24017,99.4862111207858,100,42,10.3358091245659,78,90.33816528,100,74.2476806640625,6.35551977157593,11.3196802139282,5.8,6.248,6.882,10.856,0.915,70.9,0.823,0.077,0.523,0.687,0.26,25
"Belgium",2022,100,4.372,23329464558.4689,2.00105702528312,5.93229033059527,35204513767.005,22.604446776415,6893,593438820508.173,50807.2047084918,795192806989.818,68608511632,354664839917.417,98,96,97,94.0078,9.597511728725,81.6975609756098,3.1,1.18239642570098,6890161299.82246,118615,99.4862170542849,100,42.6666666666667,9.61281518054898,NA,92.75362396,100,75.1261901855469,NA,NA,7.3,5.57,6.857,10.881,0.923,71.05,0.89,0.095,0.483,0.718,0.235,25
"Belgium",2023,NA,NA,-10576848062.9646,-0.430551198512578,-2.07092510016276,-13352967949.6646,NA,NA,644782756682.756,54700.9093236712,812087331439.48,50647716012,372045230133.765,98,96,97,94.6263,4.04901077613941,NA,NA,1.21461599569106,7629396588.60593,41679,NA,NA,42.6666666666667,9.02404198101654,NA,92.64705658,100,NA,NA,NA,NA,5.528,6.944,10.883,0.896,71.2,0.87,0.065,0.522,0.725,0.245,25
"Benin",2020,41,81.062,-152493263.34982,1.11183879764369,0.137537146818062,21526688.7132303,27.8037424618659,31351.5,15651545208.8783,1197.50136428063,42407309934.6404,1410633,28017937644.7418,70,54,70,22.1206,3.02272119663769,60.088,56.4,0.458762015150415,71817818.4788086,1729,19.2707223290055,66.8873289474628,7.2289156626506,1.35061757808946,90,42.99517059,77.5,NA,3.09441518783569,16.4128227233887,61.9,NA,4.408,8.067,0.507,55.8,0.783,-0.086,0.532,0.557,0.305,30
"Benin",2021,42,79.804,-303083098.261966,1.95581459686265,0.24252083021385,42902137.4180634,27.3603228095069,30851.5,17690083519.9323,1318.83497843483,46467947984.7692,1211677,30140063977.4489,70,53,70,30.7419,1.73353962694036,59.821,55,0.550883648806243,97424488.8098852,1729,19.3816144059671,67.1259091455631,8.43373493975904,1.19422217321656,90,38.16424942,80.625,6.4660701751709,3.20348429679871,15.2831525802612,62.7,NA,4.493,8.108,0.436,56.1,0.724,-0.016,0.613,0.597,0.435,30
"Benin",2022,56.5,78.86,-329419204.124988,2.16063891256477,0.267615084550504,46569698.098805,26.9169031571479,30351.5,17401746309.2655,1264.70765976655,52893791251.1416,1478628,32239711881.8579,69,52,69,33.7602,1.35077863583527,59.954,53.6,0.632087491743063,110010370.317322,-192,19.4935017104267,67.360269806167,7.40740740740741,1.20752925560309,91,37.19806671,83.75,10.6921663284302,3.37785911560059,16.0946025848389,63.3,1.685,4.217,8.142,0.366,56.4,0.714,-0.033,0.58,0.571,0.444,30
"Benin",2023,NA,NA,NA,0.248809706723379,0.248809706723379,48955920,NA,NA,19676049075.7011,1394.37330217623,58278279943.419,1700350,34717109988.2965,69,52,69,NA,2.73102465280233,NA,NA,0.711202269909553,140776011.436929,-192,NA,NA,26.605504587156,1.18343560082131,NA,40.19607925,83.75,NA,NA,19.0426368713379,NA,NA,4.42,8.174,0.398,56.7,0.786,-0.073,0.575,0.573,0.428,30
"Bolivia",2020,97.2,67.521,1018358416.98673,-3.08351648276169,-0.303383369425508,-111128854.350975,46.9249146127573,508337.6,36629843805.0216,3099.94219044572,98004280062.5259,13485139,68889813620.2151,68,74,68,59.9401,0.940742153381849,64.467,21,1.39204744468967,510495827.347146,-4663,65.6670621010482,93.0874216875902,46.1538461538462,4.06354815496798,80,42.02898407,88.75,50.4799995422363,8.43710994720459,22.2169208526611,NA,7.903,5.559,8.946,0.805,63.45,0.877,-0.056,0.868,0.729,0.382,NA
"Bolivia",2021,98.6,66.639,-492246694.996084,1.44427761109044,0.226029493801747,91329729.7295817,46.7283054555525,506207.733,40406111695.179,3384.84486479247,112858166795.217,22371253,76699117125.811,70,75,70,65.9774,0.737383721452275,63.63,20.3,1.32579943750687,536247233.213096,-4663,67.5398876118887,93.603178923005,46.1538461538462,4.36516114115684,80,42.02898407,88.75,49.7099990844727,7.96215009689331,23.1457805633545,NA,5.089,5.569,8.994,0.798,63.6,0.862,-0.058,0.812,0.721,0.403,NA
"Bolivia",2022,99.9,65.76,-87031312.6550736,0.0141722868400141,-0.183588923013188,-80794332.5722452,46.5396883596418,504164.444,44008282877.9606,3643.92826968677,125263793275.039,35257941,88123670944.5195,69,69,69,73.2831,1.74632872945969,64.928,19.6,0.973250888476219,429365590.625774,-3008,68.612563095457,94.1133703836164,46.1538461538462,4.43005860486668,79,40.09661865,88.75,50.7063941955566,7.57550001144409,NA,NA,3.552,5.929,9.012,0.824,63.75,0.865,-0.083,0.84,0.738,0.426,NA
"Bolivia",2023,NA,NA,-37147838.4335539,0.65069126050072,0.568388145711971,256544251.802031,NA,NA,45135398008.8166,3686.27996490544,133770780363.069,27251877,94021942472.644,67,68,67,NA,2.57688800489192,NA,NA,1.38612164709346,644276785.902971,-3008,NA,NA,46.1538461538462,4.50710416289106,NA,39.2156868,88.75,52.1244964599609,NA,NA,NA,3.024,5.86,9.025,0.786,63.9,0.832,-0.059,0.877,0.753,0.401,NA
"Bosnia and Herzegovina",2020,100,11.311,-400099031.048574,2.38939048355651,0.411251910661137,83179961.8221682,42.7326171875,21879.1,20226036564.4129,6130.31133245161,54010110401.4467,212050903,32413364105.8298,72,61,79,73.2118,-1.0512960076349,76.225,5.4,0.827298283159884,167521865.889213,-26840,NA,96.1138971196897,26.1904761904762,9.22751730720212,51,36.231884,85,69.0899963378906,3.01954078674316,NA,12.6,15.868,5.516,9.588,0.899,67.25,0.74,0.132,0.916,0.602,0.325,10
"Bosnia and Herzegovina",2021,100,11.192,-675995143.005703,3.24230816818479,0.386720113512208,91547139.6545118,42.7326171875,21879.1,23672712242.2149,7295.3438240957,59285538511.2803,323354391,34987817000.0056,76,61,79,75.6762,1.98163900587622,75.3,5.3,0.742576774905168,175574365.175333,-25865,NA,96.1038225329274,26.1904761904762,9.33114570001544,46,36.231884,85,71.1498184204102,4.13622999191284,10.3777904510498,13.4,14.897,5.749,9.674,0.86,67.3,0.759,0.274,0.921,0.604,0.305,10
"Bosnia and Herzegovina",2022,100,11.089,-773566811.181732,3.47041348895988,0.317458866663522,77887465.1191175,42.7326171875,21879.1,24534663636.1778,7655.59421024383,67619681061.1879,346093120,40162441681.1809,75,58,78,78.8455,14.0208440826771,75.293,5.2,0.679097727316253,166545042.717163,-485,NA,96.093474218664,16.6666666666667,9.43574673255945,47,37.68115997,85,72.3199996948242,NA,NA,13.3,12.657,5.872,9.723,0.856,67.35,0.743,0.191,0.933,0.543,0.285,10
