"Country","Year","Access.to.electricity....of.population.","Adolescent.fertility.rate..births.per.1.000.women.ages.15.19.","Foreign.direct.investment..net..BoP..current.US..","Foreign.direct.investment..net.inflows....of.GDP.","Foreign.direct.investment..net.outflows....of.GDP.","Foreign.direct.investment..net.outflows..BoP..current.US..","Forest.area....of.land.area.","Forest.area..sq..km.","GDP..current.US..","GDP.per.capita..current.US..","GDP..PPP..current.international...","High.technology.exports..current.US..","Households.and.NPISHs.Final.consumption.expenditure..PPP..current.international...","Immunization..DPT....of.children.ages.12.23.months.","Immunization..measles....of.children.ages.12.23.months.","Immunization..HepB3....of.one.year.old.children.","Individuals.using.the.Internet....of.population.","Inflation..consumer.prices..annual...","Life.expectancy.at.birth..total..years.","Mortality.rate..infant..per.1.000.live.births.","Military.expenditure....of.GDP.","Military.expenditure..current.USD.","Net.migration","People.using.at.least.basic.sanitation.services....of.population.","People.using.at.least.basic.drinking.water.services....of.population.","Proportion.of.seats.held.by.women.in.national.parliaments....","Total.greenhouse.gas.emissions.excluding.LULUCF.per.capita..t.CO2e.capita.","Tuberculosis.treatment.success.rate....of.new.cases.","Voice.and.Accountability..Percentile.Rank","Women.Business.and.the.Law.Index.Score..scale.1.100.","Educational.attainment..at.least.completed.upper.secondary..population.25...total......cumulative.","Government.expenditure.on.education..total....of.GDP.","Government.expenditure.on.education..total....of.government.expenditure.","Prevalence.of.moderate.or.severe.food.insecurity.in.the.population....","Unemployment..total....of.total.labor.force...national.estimate.","Life.Ladder","Log.GDP.per.capita","Social.support","Healthy.life.expectancy.at.birth","Freedom.to.make.life.choices","Generosity","Perceptions.of.corruption","Positive.affect","Negative.affect","Tax.Rate"
"Ireland",2021,100,4.798,48056570780.0582,14.6286171122761,23.6735975991956,125779366831.098,11.4097837131659,7860.2,531306516907.984,105561.137468992,596906810493.055,49840175468,110716607752.469,94,90,93,94.456,2.34034113447044,82.3536585365854,2.8,0.246964923185605,1267738883.63292,27419,89.273167730431,95.9958314677729,22.5,12.1823171269603,3,95.16908264,100,79.0847473144531,3.00598001480103,12.0236730575562,5.4,6.364,6.828,11.54,0.85,71.3,0.846,0.131,0.36,0.733,0.245,12.5
"Ireland",2022,100,4.151,27133483179.2781,-6.48520600331755,-1.5389875085372,-8442427628.31443,11.4678472927856,7900.2,548570250341.987,106194.755859223,708893485399.197,92067922569,133173825491.114,93,90,93,95.5905,7.82945736434105,83.0560975609756,2.7,0.218652664665286,1164312098.74881,93535,89.2548706492391,95.9914050398065,23.125,11.6883675010163,45,96.13526917,100,79.5170516967773,NA,NA,4.2,4.501,6.87,11.643,0.906,71.4,0.895,0.138,0.358,0.738,0.234,12.5
"Ireland",2023,NA,NA,12927237959.8195,-25.3851325549736,-23.0406715870279,-127045085600.434,NA,NA,551394889339.778,103887.800388081,661211123918.786,91363721988,144709079805.855,89,89,93,NA,6.29942487419125,NA,NA,0.216857882649718,1269192872.97808,43873,NA,NA,23.125,10.9000866681739,NA,95.58823395,100,NA,NA,NA,NA,4.288,6.817,11.676,0.921,71.5,0.903,0.182,0.373,0.742,0.245,12.5
"Israel",2020,100,6.918,-16389800000,5.09284559778962,1.11211618782847,4578900000,6.46950092421442,1400,411728563086.632,44679.7715799755,378289277687.224,12960847000,163051692126.349,98,99,96,90.1273,-0.61441235846577,82.6487804878049,2.8,5.29504518980891,21816569767.4419,16573,99.9360152701559,100,27.5,8.47851895258868,81,68.11594391,80.625,85.1861190795898,6.47881984710693,15.7630271911621,14.2,4.169,7.195,10.589,0.959,72.55,0.831,-0.059,0.748,0.564,0.243,23
"Israel",2021,100,6.759,-8580700000,3.86963031191442,2.11742387190978,10369200000,6.46950092421442,1400,489708278893.053,52255.6159050999,432636728211.381,16092016000,191565448775.654,98,99,96,90.2969,1.51020047690539,82.5,2.8,4.96402843133313,24340979541.2275,16859,99.9301814472667,100,28.3333333333333,8.37075570352349,86,67.63285065,80.625,85.1933364868164,6.18401002883911,16.4842472076416,13.2,4.812,7.578,10.655,0.917,72.7,0.82,-0.008,0.726,0.558,0.217,23
"Israel",2022,100,6.737,-12784400000,4.38689176804983,1.95176988471521,10246800000,NA,NA,525000415276.678,54930.7261602593,511970252415.01,18960759000,234314924219.496,98,98,96,91.8508,4.39359665912654,82.7,2.7,4.45573996865188,23406074573.0486,50004,99.9245193973947,100,23.3333333333333,8.44748103583573,81,68.11594391,80.625,85.3229904174805,6.45624446868896,17.5333347320557,NA,3.695,7.662,10.698,0.954,72.85,0.775,-0.007,0.655,0.583,0.183,23
"Israel",2023,NA,NA,-5382600000,2.9420314272807,1.89404005959966,9.728e+09,NA,NA,513611100815.691,52642.4267486308,528107993572.776,18160193649,240108694128.243,98,98,96,NA,4.22535211267609,NA,NA,5.31741153367738,27498527856.8524,9999,NA,NA,24.1666666666667,8.15634544820942,NA,69.11764526,80.625,NA,NA,NA,NA,3.371,6.783,10.707,0.952,73,0.797,0.146,0.636,0.484,0.516,23
"Italy",2020,100,3.295,21788625430.1752,-0.893869914296467,0.248402242308732,4738225809.30794,32.3489349614665,95661.3,1907481094079.23,32091.4866621366,2641203589480.81,32899224952,1350374468347.41,94,92,94,70.4834,-0.13770757391651,82.1951219512195,2.5,1.73898398051865,32929093810.5551,85281,99.8851587287766,99.9170340740928,35.7142857142857,6.21578132457507,NA,81.15942383,97.5,52.4599990844727,4.44135999679565,7.4938817024231,NA,9.164,6.488,10.574,0.89,71.975,0.718,-0.157,0.844,0.614,0.311,27.81
"Italy",2021,100,3.016,29959682048.1237,1.14272563508111,2.51752263277676,54862048915.512,32.5308994748357,96199.4,2179207773596.09,36852.5425414951,2943669338991.14,36849787531,1475761086981.37,94,94,94,74.8623,1.87378325762481,82.6463414634146,2.3,1.6812622421282,36232722327.3415,157327,99.8850967615747,99.9170340740928,35.7142857142857,6.87773341707877,NA,83.57488251,97.5,52.4379005432129,4.21828985214233,7.43716192245483,2.2,9.497,6.467,10.647,0.886,72.05,0.703,-0.096,0.862,0.634,0.318,27.81
"Italy",2022,100,2.988,-15930452555.5196,2.98280776340516,2.22534946358579,46799008930.5601,32.7125321249831,96737.5,2102995942720.44,35635.7442204098,3314889036434.54,45177261781,1733302418905.36,95,94,95,85.0607,8.20128991161718,82.9,2.2,1.69455752183519,34691881158.1277,231228,99.8850365009352,99.9170340740928,32.25,6.83098543935594,NA,83.09178925,97.5,52.7956314086914,NA,NA,2,8.069,6.258,10.687,0.869,72.125,0.711,0.026,0.819,0.624,0.298,27.81
